name,url,exchange,ticker,business_activity,customer_segment,SIC_industry,competitive_role,strategic_reason,confidence,_competitive_proximity,_tfidf_similarity,_industry_similarity,_subtheme,_why_fit
Vtex,https://www.vtex.com,NYSE,VTEX,"VTEX provides software-as-a-service digital commerce platform for enterprise brands and retailers. Its platform enables customers to execute their commerce strategy, including building online stores, integrating, and managing orders across channels, and creating marketplaces to sell products from third-party vendors. It has operations in Brazil, Argentina, Chile, Colombia, France, Italy, Mexico, Peru, Portugal, Romania, Spain, the United Kingdom, and the United States. VTEX was founded in 2000 and is headquartered in London, the United Kingdom.","Enterprise brands, Large retailers, Online retailers, Omnichannel retailers, Marketplace operators, Third-party product vendors",Software - Application,direct_competitor,"Both Shopify and VTEX are multi-tenant SaaS commerce platforms selling to brands and retailers to power online stores and omnichannel commerce, with overlapping core workflows in storefront creation, order/inventory management, multi-channel selling, and marketplace capabilities, so they compete directly for the same digital commerce infrastructure spend.",0.93,0.3656,0.0938,1.0,Enterprise digital commerce platform,"VTEX is a multi-tenant SaaS commerce platform with storefront, marketplace, and order management capabilities, serving enterprise and large brands—particularly in Latin America and globally—that evaluate it alongside Shopify for unified commerce operations."
Lightspeed Commerce Inc.,https://www.lightspeedhq.com,TSX,LSPD.TO,"Lightspeed Commerce Inc. provides commerce enabling Software as a Service (SaaS) platform for small and midsize businesses, retailers, restaurants, and golf course operators in Canada, the United States, Australia, the Netherlands, and internationally. Its SaaS platform enables customers to engage with consumers, manage operations, accept payments, etc. The company's cloud platforms are designed interrelated elements, such as omni-channel consumer experience, a comprehensive back-office operations management suite to improve customers' efficiency and insight, and the facilitation of payments. Its platform functionalities include full omni-channel capabilities, point of sale (POS), product and menu management, employee and inventory management, analytics and reporting, multi-location connectivity, order-ahead and curbside pickup functionality, loyalty, and customer management solutions. The company also offers tailored financial solutions, such as Lightspeed Analytics; Lightspeed Payments; and Lightspeed Capital, a merchant cash advance program. In addition, it sells POS peripheral hardware, including tablets, customer facing displays, receipt printers, networking hardware, cash drawers, payment terminals, servers, stands, bar-code scanners, and an assortment of accessories, as well as provides installation and implementation services. The company was formerly known as Lightspeed POS Inc. and changed its name to Lightspeed Commerce Inc. in August 2021. Lightspeed Commerce Inc. was incorporated in 2005 and is headquartered in Montréal, Canada.","Small businesses, Midsize businesses, Retailers, Restaurants, Golf course operators",Software - Application,adjacent_competitor,"Both target SMB and mid-market merchants with commerce platforms that combine POS, payments, and omni-channel capabilities, but Shopify is primarily an e-commerce storefront and broader commerce infrastructure platform while Lightspeed is primarily an in-person POS and operations suite with e-commerce extensions, so their core workflows only partially overlap.",0.78,0.3632,0.0903,1.0,Retail POS plus e-commerce,"Lightspeed provides cloud-based POS and e-commerce solutions that unify in-store and online sales, inventory, and customer data for retailers and restaurants, directly competing with Shopify’s omnichannel retail and POS-focused workflows."
"BigCommerce Holdings, Inc.",https://www.bigcommerce.com,NASDAQ,BIGC,"BigCommerce Holdings, Inc. operates a software-as-a-service platform for small businesses, mid-markets, and large enterprises in the United States, Europe, the Middle East, Africa, the Asia-Pacific, and internationally. The company's platform provides various services for launching and scaling e-commerce operation, including store design, catalog management, hosting, checkout, order management, reporting, and pre-integrations. As of December 31, 2021, it served approximately 60,000 online stores across industries. BigCommerce Holdings, Inc. was founded in 2009 and is headquartered in Austin, Texas.","Small businesses, Mid-market companies, Large enterprises, Online retailers and e-commerce merchants",Software - Application,direct_competitor,"Both Shopify and BigCommerce sell hosted e-commerce SaaS platforms to essentially the same merchant segments to power online stores, with overlapping workflows in store design, catalog/order management, checkout, and multi-channel selling, making them head-to-head alternatives for the core commerce stack.",0.96,0.3587,0.0838,1.0,Mid-market and enterprise e-commerce SaaS,"BigCommerce is a multi-tenant SaaS e-commerce platform offering hosted storefronts, multi-channel selling, inventory and order management, marketing tools, and integrations for SMBs and mid-market merchants, directly overlapping Shopify’s core commerce infrastructure offering."
"Fastly, Inc.",https://www.fastly.com,NASDAQ,FSLY,"Fastly, Inc. operates an edge cloud platform for processing, serving, and securing its customer's applications in the United States, the Asia Pacific, Europe, and internationally. The edge cloud is a category of Infrastructure as a Service that enables developers to build, secure, and deliver digital experiences at the edge of the internet. It is a programmable platform designed for web and application delivery. The company offers Compute@Edge; developer hub that includes solution library patterns and recipes, API and language references, change logs, and Fastly Fiddle solutions; device detection and geolocation, edge dictionaries, edge access control lists, and edge authentication services; full site delivery services, such as dynamic site acceleration, origin shield, instant purge, surrogate keys, real-time logging and stats, cloud optimizer, programmatic control, edge databases, content compression, reliability, and modern protocols and performance services; and streaming solutions and services, including live streaming, media shield, and origin connect. It also provides edge security solutions, such as DDoS protection and cloud, edge web application firewall (WAF), transport layer security (TLS), platform TLS, and compliance services; unified web application and API protection solutions that includes runtime self-application protection, advanced rate limiting, API and ATO protection, account takeover protection, bot protection, and next generation WAF. In addition, the company offers edge applications, such as load balancers and image optimizers; video on demand; and managed edge delivery services. It serves customers operating in digital publishing, media and entertainment, technology, online retail, travel and hospitality, and financial services industries. The company was formerly known as SkyCache, Inc. and changed its name to Fastly, Inc. in May 2012. Fastly, Inc. was incorporated in 2011 and is headquartered in San Francisco, California.","Digital publishing companies, Media and entertainment companies, Technology companies, Online retail and e-commerce businesses, Travel and hospitality companies, Financial services institutions",Software - Application,supplier,"Fastly provides edge cloud, CDN, and security infrastructure that online retailers and platforms use to deliver and secure web applications, while Shopify is an e-commerce platform for merchants; Fastly’s services are enabling infrastructure that underpins, rather than competes with, Shopify’s commerce workflows.",0.9,0.3256,0.0366,1.0,content delivery & edge compute,High-traffic e-commerce platforms like Shopify use edge CDNs and caching to handle peak loads and flash sales; Fastly supplies edge delivery and performance services that underpin storefront responsiveness.
"Klaviyo, Inc.",https://www.klaviyo.com,NYSE,KVYO,"Klaviyo, Inc., a technology company that provides a software-as-a-service platform to enable its customers to send the right messages at the right time across email, short message service (SMS), and push notifications. The company offers Klaviyo, a marketing automation platform that sends personalized and targeted messages. Its products include email marketing solution to track every click and purchase to optimize campaigns; SMS, a text marketing solution for ecommerce growth and retention; and mobile push solution that reaches customers directly on their lock screen with mobile push notifications. The company also provides Review solution to get the product reviews; and a customer data platform that helps store, analyze, and use data at scale. It serves individuals, small and medium enterprises, and companies in North America, Western Europe, Canada, the United Kingdom, Australia, and New Zealand. The was incorporated in 2012 and is based in Boston, Massachusetts.","Individuals, Small enterprises, Medium-sized enterprises, Large companies, Ecommerce businesses, Customers in North America, Customers in Western Europe, Customers in the United Kingdom, Customers in Australia and New Zealand",Software - Infrastructure,supplier,"Shopify provides the core commerce and storefront infrastructure for merchants, while Klaviyo supplies specialized email/SMS/push marketing automation and customer data tools that plug into Shopify and are used by Shopify merchants to run lifecycle marketing workflows, not to run the storefront itself.",0.86,0.2584,0.0691,0.7,Marketing automation and customer data for ecommerce,Targets many of the same ecommerce merchants with advanced email/SMS marketing and customer data tools; overlaps with Shopify’s built-in marketing and CRM-lite features and represents a bundling/expansion threat on the marketing and customer engagement module.
Adyen N.V.,https://www.adyen.com,OTC,ADYYF,"Adyen N.V. operates a payments platform in Europe, the Middle East, Africa, North America, the Asia Pacific, Latin America. The company's platform integrates payments stack that include gateway, risk management, processing, issuing, acquiring, and settlement services. It offers a back-end infrastructure for authorizing payments across merchants' sales channels, as well as online, mobile, in-store, and APIs; and data insights. The company's platform services a range of merchants across various verticals, connecting them directly to Visa, Mastercard, and other payment methods. Adyen N.V. was incorporated in 2006 and is headquartered in Amsterdam, the Netherlands.","Online merchants, Mobile commerce merchants, In-store/point-of-sale merchants, Omnichannel retailers, Global enterprises requiring multi-region payment processing, Merchants needing direct connections to card networks and alternative payment methods",Software - Infrastructure,supplier,"Shopify is a commerce platform for merchants, while Adyen provides back-end payment processing, acquiring, and settlement infrastructure that platforms like Shopify integrate to enable transactions, so Adyen functions as an enabling payments supplier rather than a competing storefront or commerce system.",0.9,0.2576,0.068,0.7,global acquiring & payment processing,Shopify serves merchants in many countries and needs multi-currency acquiring and local payment methods; Adyen provides global payment processing and acquiring services that commerce platforms integrate for international coverage.
"Squarespace, Inc.",https://www.squarespace.com,NYSE,SQSP,"Squarespace, Inc. operates platform for businesses and independent creators to build online presence, grow their brands, and manage their businesses across the internet. Its suite of integrated products enables users to manage their projects and businesses through websites, domains, e-commerce, marketing tools, and scheduling, as well as tools for managing a social media presence. It serves small and medium-sized businesses, and independent creators, such as restaurants, photographers, wedding planners, artists, musicians, and bloggers. Squarespace, Inc. was founded in 2003 and is headquartered in New York, New York.","Small businesses, Medium-sized businesses, Independent creators, Restaurants, Photographers, Wedding planners, Artists, Musicians, Bloggers",Software - Infrastructure,adjacent_competitor,"Both target small businesses and creators needing online presence and basic e-commerce, but Shopify is a full-stack commerce and operations platform (storefront, inventory, multi-channel, fulfillment) while Squarespace is primarily a website/brand presence platform with lighter commerce features, so they overlap on simple online selling but not on the broader retail workflow.",0.86,0.2476,0.0537,0.7,Creator-led and SMB online stores,"Squarespace provides an all-in-one hosted commerce platform with templates, online store functionality, inventory, marketing, analytics, and integrated payments, targeting solo entrepreneurs, small retailers, and DTC brands needing quick-to-launch online stores similar to Shopify’s core use cases."
Wix.com Ltd.,https://www.wix.com,NASDAQ,WIX,"Wix.com Ltd., together with its subsidiaries, develops and markets a cloud-based platform that enables anyone to create a website or web application in North America, Europe, Latin America, Asia, and internationally. The company offers Wix Editor, a drag-and-drop visual development and website editing environment platform; Wix ADI that enables users to create a website for their specific needs; and Corvid by Wix to create websites and web applications. It also provides Ascend by Wix, which offers its users access to a suite of approximately 20 products or features enabling them to connect with their customers, automate their work, and grow their business; Wix Logo Maker that allows users to generate a logo using artificial intelligence; Wix Answers, a support infrastructure enabling its users to help their users across various channels; and Wix Payments, a payment platform, which helps its users receive payments from their users through their Wix Website. In addition, the company offers various vertical-specific applications that business owners use to operate various aspects of their business online. Further, it provides a range of complementary services, including App Market that offers its registered users the ability to install and uninstall a range of free and paid web applications; Wix Arena, an online marketplace that brings users seeking help in creating and managing a website, together with Web experts; and Wix App, a native mobile application, which enables users to manage their Websites and Wix operating systems. As of December 31, 2021, the company had approximately 222 million registered users and 6 million premium subscriptions. The company was formerly known as Wixpress Ltd. Wix.com Ltd. was incorporated in 2006 and is headquartered in Tel Aviv, Israel.","Individuals creating personal websites, Small and medium-sized businesses, Online merchants and e-commerce businesses, Freelancers and web designers building sites for clients, Business owners needing vertical-specific online tools, Organizations needing customer support and helpdesk infrastructure, Users requiring integrated online payment processing",Software - Infrastructure,adjacent_competitor,"Both target solo entrepreneurs and small businesses needing online selling, but Shopify is a specialized commerce infrastructure and omnichannel retail platform while Wix is a general-purpose website builder with lighter e-commerce, so they overlap on simple online store workflows rather than full retail operations and fulfillment.",0.86,0.245,0.05,0.7,SMB e-commerce website builder,"Wix offers a hosted, subscription-based e-commerce platform with customizable storefronts, inventory and order management, marketing tools, analytics, and integrated payments for small businesses and entrepreneurs, directly competing with Shopify for turnkey online store creation."
"Cloudflare, Inc.",https://www.cloudflare.com,NYSE,NET,"CloudFlare, Inc. operates as a cloud services provider that delivers a range of services to businesses worldwide. The company offers an integrated cloud-based security solution to secure a range of combination of platforms, including public cloud, private cloud, on-premise, software-as-a-service applications, and IoT devices. Its security products comprise cloud firewall, bot management, distributed denial of service, IoT, SSL/TLS, secure origin connection, and rate limiting products. The company also offers performance solutions, which include content delivery and intelligent routing, as well as content, mobile, and image optimization solutions. In addition, it provides reliability solutions comprising load balancing, anycast network, virtual backbone, DNS, DNS resolver, online, and virtual waiting room solutions. Further, the company offers Cloudflare internal infrastructure solutions, including on-ramps, which connect users, devices, or locations to its network; and filters, which are the products that protect, inspect, and privilege data. Additionally, it provides developer-based solutions, such as serverless computing/programmable network, website development, domain registration, Cloudflare apps, analytics, and data localization management; Consumer DNS Resolver, a consumer app to browse the Internet; and Consumer VPN for consumers to secure and accelerate traffic on mobile devices. The company serves customers in the technology, healthcare, financial services, consumer and retail, and non-profit industries, as well as government. CloudFlare, Inc. was incorporated in 2009 and is headquartered in San Francisco, California.","Technology companies, Healthcare organizations, Financial services institutions, Consumer and retail businesses, Non-profit organizations, Government agencies, Individual consumers and mobile users, Developers and web application builders",Software - Infrastructure,supplier,"Cloudflare provides underlying network, security, and performance infrastructure (CDN, DDoS protection, edge services) that platforms like Shopify or their merchants use to deliver fast, secure storefronts, so it functions as an enabling infrastructure supplier rather than a commerce platform competitor.",0.86,0.2439,0.0484,0.7,"CDN, security & edge performance","Shopify must deliver fast, secure storefronts worldwide; Cloudflare provides CDN, DDoS protection, and edge optimization that commerce platforms use to ensure low-latency, secure shopping experiences."
"Etsy, Inc.",https://www.etsy.com,NYSE,ETSY,"Etsy, Inc. operates two-sided online marketplaces that connect buyers and sellers primarily in the United States, the United Kingdom, Germany, Canada, Australia, France, and India. Its primary marketplace is Etsy.com that connects artisans and entrepreneurs with various consumers. The company also offers Reverb, a musical instrument marketplace; Depop, a fashion resale marketplace; and Elo7, a Brazil-based marketplace for handmade and unique items. In addition, it offers various seller services, including Etsy Payments, a payment processing service; Etsy Ads, an advertising platform; and Shipping Labels, which allows sellers in the United States, Canada, the United Kingdom, Australia, and India to purchase discounted shipping labels. Further, the company provides various seller tools, including Shop Manager dashboard, a centralized hub for Etsy sellers to track orders, manage inventory, view metrics and statistics, and have conversations with their customers; and Sell on Etsy, an application to enable enhanced onboarding and video uploading. Additionally, it offers Etsy seller analytics pages that provides insights regarding traffic acquisition for their shops; Targeted Offers, a sales and promotions tool, and social media tool; and accounting and bookkeeping services. The company also provides educational resources comprising blog posts, video tutorials, Etsy Seller Handbook, Etsy.com online forums, and insights; Etsy Teams, a platform to build personal relationships with other Etsy sellers; and a Star Seller program. As of December 31, 2021, it connected a total of 7.5 million active sellers to 96.3 million active buyers; and had 120 million items for sale. The company was formerly known as Indieco, Inc changed its name to Etsy, Inc. in June 2006. Etsy, Inc. was founded in 2005 and is headquartered in Brooklyn, New York.","Individual consumers buying handmade and unique goods, Artisans and craft makers selling products online, Small entrepreneurs and microbusinesses using online marketplaces, Musicians and music gear enthusiasts buying and selling instruments, Fashion-conscious consumers buying secondhand and resale fashion, Sellers of handmade and unique items in Brazil, International buyers and sellers in the US, UK, Germany, Canada, Australia, France, and India",Specialty Retail,substitute,"Both serve small merchants and creators who want to sell online with minimal setup, but Shopify provides standalone branded storefront infrastructure while Etsy is a centralized marketplace; they solve the core job of enabling online sales through different product categories and workflows.",0.86,0.0762,0.066,0.1,Niche marketplace for creators and small brands,"Makers and small brands can bypass building a Shopify site by selling through Etsy’s marketplace, which provides storefront pages, payments, discovery, and basic analytics, addressing the same need to reach customers and transact online with minimal setup."
